Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2006-0262-IND,2006,0262,Natural,Hydrological,Flood,Riverine flood,,,Affected,India,IND,Southern Asia,Asia,"Assam, Tripura provinces",Monsoonal rain,,,,,,,47020,Km2,26.6,94.02,,Brahmaputra and tributaries,2006,5,31,2006,7,24,21,,504000,,504000,,,,78.85225551
2006-0263-IND,2006,0263,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Kerala province,Monsoonal rain,,,,,,,42690,Km2,10.54,76.05,,,2006,5,25,2006,6,2,32,,10800,,10800,,,,78.85225551
2006-0265-IND,2006,0265,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Maharashtra, Gujarat provinces",Monsoonal rain,,,,,,,395400,Km2,18.73,75.23,,,2006,5,31,2006,6,4,41,,,,,,,,78.85225551
2006-0342-IND,2006,0342,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Ballia, Chandauli districts (Uttar Pradesh province)",Monsoonal rain,,,,,,,13110,Km2,25.62,83.67,,Ganges and tributaries,2006,6,24,2006,6,27,130,,300000,,300000,,,,78.85225551
2006-0369-IND,2006,0369,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Navsari, The Dangs districts (Gujarat)",Heavy rain,,,,,,,170100,Km2,22.41,71.31,,,2006,7,4,2006,7,7,24,,8400,,8400,,,,78.85225551
2006-0389-IND,2006,0389,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Jammu and Kashmir provinces,Monsoonal rain,,,,,,,,Km2,34.61,73.2,,"Jelum, Chenab",2006,7,24,2006,8,22,15,,800,,800,,,,78.85225551
2006-0443-IND,2006,0443,Natural,Hydrological,Flood,Riverine flood,,,Affected,India,IND,Southern Asia,Asia,Gujarat province,Monsoonal rain,,,,,,,,Km2,,,,,2006,8,,2006,8,,,,50000,,50000,,,,78.85225551
2006-0469-IND,2006,0469,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Barmer, Jaisalmer, Kota, Udaipur districts (Rajasthan province)",Monsoonal rain,,,,,,,,Km2,,,,,2006,8,18,2006,9,2,135,,20000,,20000,,,,78.85225551
2006-0549-IND,2006,0549,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Balrampur, Bahraich, Lakhimpur Kheri, Shravasti, Gonda, Bara Banki districts (Uttar Pradesh province)",Monsoonal rain,,,,,,,32700,Km2,27.59,81.52,,"Rapti, Ghaghra, SAryu",2006,8,29,2006,9,4,42,,100000,,100000,,,,78.85225551
2006-0601-IND,2006,0601,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Tamil Nadu, Andhra Pradesh provinces",Monsoonal rain and Cyclonic storm Ogni,,,,,,,40090,Km2,14.13,79.93,,"Godavari, Krishna deltas",2006,10,26,2006,11,4,47,,225000,,225000,,,,78.85225551
2006-0712-IND,2006,0712,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Orissa, Andhra Pradesh, Chhattisgarh provinces",Monsoonal rain,,,,,,,302800,Km2,18.1,81.53,,,2006,8,1,2006,9,10,185,,2000000,,2000000,,,,78.85225551
2006-0731-IND,2006,0731,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,"Madhya Pradesh, Maharashtra, Rajasthan provinces",Heavy rains and hailstorms,,,,,,,,Km2,,,,,2006,3,9,2006,3,10,61,113,,,113,,,,78.85225551
2006-0245-IRN,2006,0245,Natural,Hydrological,Flood,Riverine flood,,,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Ardebil province,Heavy rains,,,,,,,18310,Km2,38.69,47.88,,,2006,5,8,2006,5,13,14,,2800,,2800,,,16000,78.85225551
2007-0105-AFG,2007,0105,Natural,Hydrological,Flood,Riverine flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Badghis, Uruzgan, Hilmand, Hirat, Ghor, Nimroz provinces",Heavy rain and snowmelt,"Slide (land, mud, snow, rock)",,,,,,304100,Km2,33.25,64.89,,Helmand river,2007,3,18,2007,3,26,104,,20000,,20000,,,,81.10165893
2007-0012-LKA,2007,0012,Natural,Hydrological,Flood,Riverine flood,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,"Walapane village (Nuwara Eliya district, Central province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,10420,Km2,6.71,80.95,,,2007,1,12,2007,1,14,18,,35000,,35000,,,,81.10165893
2005-0556-NPL,2005,0556,Natural,Hydrological,Flood,Riverine flood,,,Kill,Nepal,NPL,Southern Asia,Asia,"Kanchanpur, Baitadi, Dadeldhura, Darchula areas (Mahakali district, Far Western province)",Late monsoon rains,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",,,,,8030,Km2,,,,"Mahakali, Shirsha, Ragoon",2005,9,24,2005,9,29,51,,1600,,1600,,,,76.38802721
2005-0746-PAK,2005,0746,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sindh, Jammu and Kashmir provinces",Monsoonal rain,Broken Dam/Burst bank,,,,,,,Km2,,,,Indus river and tributaries,2005,7,5,2005,8,14,42,20,58000,,58020,,,,76.38802721
2005-0375-NPL,2005,0375,Natural,Hydrological,Flood,Riverine flood,,,Kill,Nepal,NPL,Southern Asia,Asia,"Banke area (Bheri district, Mid Western province), Sunsari area (Koshi district, Eastern province)",Monsoonal rain,,,,,,,,Km2,,,,"Rapti, Bagmati and Lalbakaiya, Saptakosi",2005,7,7,2005,7,27,,,30000,,30000,,,,76.38802721
